Titulo,Año,Duracion,Clasificación
1. Cadena perpetua,1994,2h 22m,13
2. El padrino,1972,2h 55m,18
3. El caballero oscuro,2008,2h 32m,13
4. El padrino parte II,1974,3h 22m,18
5. 12 hombres sin piedad,1957,1h 36m,A
6. La lista de Schindler,1993,3h 15m,13
7. El señor de los anillos: El retorno del rey,2003,3h 21m,13
8. Pulp Fiction,1994,2h 34m,18
9. El señor de los anillos: La comunidad del anillo,2001,2h 58m,12
"10. El bueno, el feo y el malo",1966,3h 2m,14
11. Forrest Gump,1994,2h 22m,A
12. El señor de los anillos: Las dos torres,2002,2h 59m,13
13. El club de la lucha,1999,2h 19m,18
14. Origen,2010,2h 28m,12
15. El imperio contraataca,1980,2h 4m,A
16. Matrix,1999,2h 16m,18
17. Uno de los nuestros,1990,2h 25m,18
18. Alguien voló sobre el nido del cuco,1975,2h 13m,18
19. Interstellar,2014,2h 49m,12
20. Seven,1995,2h 7m,18
21. ¡Qué bello es vivir!,1946,2h 10m,A
22. Los siete samuráis,1954,3h 27m,A
23. El silencio de los corderos,1991,1h 58m,18
24. Salvar al soldado Ryan,1998,2h 49m,13
25. Ciudad de Dios,2002,2h 10m,18
26. La vida es bella,1997,1h 56m,A
27. La milla verde,1999,3h 9m,13
28. Terminator 2: El juicio final,1991,2h 17m,18
29. La guerra de las galaxias,1977,2h 1m,A
30. Regreso al futuro,1985,1h 56m,A
31. El viaje de Chihiro,2001,2h 5m,A
32. El pianista,2002,2h 30m,13
33. Parásitos,2019,2h 12m,16
34. Psicosis,1960,1h 49m,16
35. Gladiator (El gladiador),2000,2h 35m,13
36. El rey león,1994,1h 28m,A
37. Spider-Man: Cruzando el multiverso,2023,2h 20m,7
38. Infiltrados,2006,2h 31m,18
39. Dune: Parte dos,2024,2h 46m,12
40. El profesional (Léon),1994,1h 50m,18
41. American History X,1998,1h 59m,13
42. Whiplash,2014,1h 46m,12
43. El truco final (El prestigio),2006,2h 10m,18
44. La tumba de las luciérnagas,1988,1h 28m,13
45. Harakiri,1962,2h 13m,13
46. Sospechosos habituales,1995,1h 46m,18
47. Casablanca,1942,1h 42m,A
48. Intocable,2011,1h 52m,7
49. Cinema Paradiso,1988,2h 54m,A
50. Tiempos modernos,1936,1h 27m,A
51. La ventana indiscreta,1954,1h 52m,A
52. Hasta que llegó su hora,1968,2h 46m,18
"53. Alien, el octavo pasajero",1979,1h 57m,16
54. Luces de la ciudad,1931,1h 27m,A
55. Django desencadenado,2012,2h 45m,16
56. Apocalypse Now,1979,2h 27m,16
57. Memento,2000,1h 53m,13
58. WALL·E,2008,1h 38m,A
59. En busca del arca perdida,1981,1h 55m,A
60. 12th Fail,2023,2h 27m,Not Rated
61. La vida de los otros,2006,2h 17m,7
62. El crepúsculo de los dioses,1950,1h 50m,Apta para mayores
63. Vengadores: Infinity War,2018,2h 29m,12
64. Senderos de gloria,1957,1h 28m,A
65. Spider-Man: Un nuevo universo,2018,1h 57m,7
66. Testigo de cargo,1957,1h 56m,A
67. El resplandor,1980,2h 26m,16
68. El gran dictador,1940,2h 5m,A
69. Aliens: El regreso,1986,2h 17m,13
70. Malditos bastardos,2009,2h 33m,13
71. El caballero oscuro: La leyenda renace,2012,2h 44m,12
72. Coco,2017,1h 45m,A
73. Amadeus,1984,2h 40m,A
74. ¿Teléfono rojo? Volamos hacia Moscú,1964,1h 35m,18
75. Old Boy,2003,2h,18
76. Toy Story,1995,1h 21m,A
77. American Beauty,1999,2h 2m,18
78. Vengadores: Endgame,2019,3h 1m,7
79. Braveheart,1995,2h 58m,18
80. El submarino (Das Boot),1981,2h 29m,13
81. El indomable Will Hunting,1997,2h 6m,A
82. La princesa Mononoke,1997,2h 14m,7
83. Joker,2019,2h 2m,18
84. Your Name.,2016,1h 46m,A
85. El infierno del odio,1963,2h 23m,13
86. 3 Idiots,2009,2h 50m,PG-13
87. Érase una vez en América,1984,3h 49m,18
88. Cantando bajo la lluvia,1952,1h 43m,A
89. Cafarnaúm,2018,2h 6m,16
90. Masacre (Ven y mira),1985,2h 22m,18
91. Réquiem por un sueño,2000,1h 42m,18
